Local time,Open,High,Low,Close
16.05.2020 04:00:00.000 GMT+0700,1741.628,1741.628,1741.628,1741.628
17.05.2020 04:00:00.000 GMT+0700,1741.628,1741.628,1741.628,1741.628
18.05.2020 04:00:00.000 GMT+0700,1734.868,1765.018,1727.458,1732.305
19.05.2020 04:00:00.000 GMT+0700,1730.418,1747.818,1726.205,1744.408
20.05.2020 04:00:00.000 GMT+0700,1744.288,1753.735,1742.528,1747.628
21.05.2020 04:00:00.000 GMT+0700,1747.088,1748.538,1717.155,1727.362
22.05.2020 04:00:00.000 GMT+0700,1725.518,1739.955,1724.278,1733.648
23.05.2020 04:00:00.000 GMT+0700,1733.648,1733.648,1733.648,1733.648
24.05.2020 04:00:00.000 GMT+0700,1733.648,1733.648,1733.648,1733.648
25.05.2020 04:00:00.000 GMT+0700,1731.308,1734.318,1721.168,1728.075
26.05.2020 04:00:00.000 GMT+0700,1727.928,1735.325,1708.558,1710.128
27.05.2020 04:00:00.000 GMT+0700,1708.238,1715.895,1693.598,1708.778
28.05.2020 04:00:00.000 GMT+0700,1710.378,1727.428,1706.988,1717.438
29.05.2020 04:00:00.000 GMT+0700,1716.608,1737.773,1712.428,1728.695
30.05.2020 04:00:00.000 GMT+0700,1728.695,1728.695,1728.695,1728.695
31.05.2020 04:00:00.000 GMT+0700,1728.695,1728.695,1728.695,1728.695
01.06.2020 04:00:00.000 GMT+0700,1735.808,1744.525,1727.553,1738.988
02.06.2020 04:00:00.000 GMT+0700,1734.288,1745.008,1721.215,1727.158
03.06.2020 04:00:00.000 GMT+0700,1726.348,1731.908,1689.245,1699.108
04.06.2020 04:00:00.000 GMT+0700,1695.038,1721.863,1695.038,1713.518
05.06.2020 04:00:00.000 GMT+0700,1713.058,1715.988,1670.745,1684.758
06.06.2020 04:00:00.000 GMT+0700,1684.758,1684.758,1684.758,1684.758
07.06.2020 04:00:00.000 GMT+0700,1684.758,1684.758,1684.758,1684.758
08.06.2020 04:00:00.000 GMT+0700,1674.868,1700.618,1674.868,1697.978
09.06.2020 04:00:00.000 GMT+0700,1696.838,1720.668,1692.025,1711.828
10.06.2020 04:00:00.000 GMT+0700,1712.788,1739.675,1707.695,1738.158
11.06.2020 04:00:00.000 GMT+0700,1737.388,1744.575,1721.445,1727.208
12.06.2020 04:00:00.000 GMT+0700,1726.888,1742.948,1722.135,1729.728
13.06.2020 04:00:00.000 GMT+0700,1729.728,1729.728,1729.728,1729.728
14.06.2020 04:00:00.000 GMT+0700,1729.728,1729.728,1729.728,1729.728
15.06.2020 04:00:00.000 GMT+0700,1730.258,1735.258,1704.025,1724.885
16.06.2020 04:00:00.000 GMT+0700,1724.848,1732.748,1716.535,1726.795
17.06.2020 04:00:00.000 GMT+0700,1726.598,1730.165,1712.548,1726.495
18.06.2020 04:00:00.000 GMT+0700,1721.198,1737.438,1717.435,1722.355
19.06.2020 04:00:00.000 GMT+0700,1718.678,1745.168,1718.678,1743.268
20.06.2020 04:00:00.000 GMT+0700,1743.268,1743.268,1743.268,1743.268
21.06.2020 04:00:00.000 GMT+0700,1743.268,1743.268,1743.268,1743.268
22.06.2020 04:00:00.000 GMT+0700,1750.178,1763.058,1742.598,1754.408
23.06.2020 04:00:00.000 GMT+0700,1754.438,1770.998,1747.295,1767.648
24.06.2020 04:00:00.000 GMT+0700,1768.408,1779.388,1760.138,1760.138
25.06.2020 04:00:00.000 GMT+0700,1759.038,1768.785,1753.548,1763.155
26.06.2020 04:00:00.000 GMT+0700,1763.258,1771.948,1747.368,1770.898
27.06.2020 04:00:00.000 GMT+0700,1770.898,1770.898,1770.898,1770.898
28.06.2020 04:00:00.000 GMT+0700,1770.898,1770.898,1770.898,1770.898
29.06.2020 04:00:00.000 GMT+0700,1774.918,1775.748,1765.538,1772.218
30.06.2020 04:00:00.000 GMT+0700,1769.788,1785.85,1764.425,1780.378
01.07.2020 04:00:00.000 GMT+0700,1780.278,1789.008,1758.948,1769.598
02.07.2020 04:00:00.000 GMT+0700,1769.758,1779.425,1757.438,1774.648
03.07.2020 04:00:00.000 GMT+0700,1775.258,1777.048,1772.588,1774.818
04.07.2020 04:00:00.000 GMT+0700,1774.818,1774.818,1774.818,1774.818
05.07.2020 04:00:00.000 GMT+0700,1774.818,1774.818,1774.818,1774.818
06.07.2020 04:00:00.000 GMT+0700,1773.368,1786.918,1769.818,1784.098
07.07.2020 04:00:00.000 GMT+0700,1782.688,1797.358,1773.398,1794.468
08.07.2020 04:00:00.000 GMT+0700,1794.718,1817.848,1791.448,1808.338
09.07.2020 04:00:00.000 GMT+0700,1805.018,1815.855,1795.258,1802.988
10.07.2020 04:00:00.000 GMT+0700,1801.258,1810.496,1793.935,1798.088
11.07.2020 04:00:00.000 GMT+0700,1798.088,1798.088,1798.088,1798.088
12.07.2020 04:00:00.000 GMT+0700,1798.088,1798.088,1798.088,1798.088
13.07.2020 04:00:00.000 GMT+0700,1799.188,1813.198,1797.708,1802.238
14.07.2020 04:00:00.000 GMT+0700,1802.538,1810.788,1790.418,1808.878
15.07.2020 04:00:00.000 GMT+0700,1807.838,1814.916,1802.228,1809.828
